Timestamp,Movement,Sensor
63842.309,NBR,0
63842.92,WBL,0
63845.622,WBL,0
63846.62,NBR,0
63849.426,WBL,0
63851.016,EBL,0
63851.429,EBL,1
63855.63,WBL,0
63857.822,WBL,0
63861.041,WBL,0
63861.34,WBR,0
63864.746,WBR,0
63866.743,WBL,0
63867.747,WBR,0
63868.347,WBL,0
63873.561,WBL,0
63874.45,EBL,0
63875.548,EBL,1
63876.142,EBL,0
63876.551,EBL,1
63877.652,EBL,0
63877.961,EBL,1
63878.054,WBL,0
63879.855,EBL,1
63882.465,WBL,0
63886.963,EBT,1
63889.076,EBT,1
63891.577,EBT,1
63893.374,WBL,0
63893.972,EBT,1
63895.976,WBL,0
63897.778,EBT,1
63904.181,EBT,1
63905.874,EBT,1
63908.082,EBT,1
63909.582,WBL,0
63911.293,EBT,1
63911.486,WBL,0
63913.888,WBL,0
63913.996,EBT,1
63915.689,EBT,1
63916.391,WBL,0
63917.795,EBT,1
63918.903,EBL,1
63919.802,EBT,1
63922.807,EBT,1
63924.5,EBT,1
63925.111,EBL,1
63926.812,EBT,1
63928.003,EBR,1
63929.409,EBL,1
63932.608,EBT,1
63933.358,EBL,0
63933.613,EBL,1
63935.52,EBT,1
63935.82,WBL,0
63936.721,EBT,1
63937.523,EBL,0
63937.907,EBL,1
63939.217,EBT,1
63941.721,NBR,0
63945.727,NBT,0
63946.615,NBR,0
63947.929,NBT,1
63948.431,NBT,0
63950.426,NBT,0
63950.532,NBT,1
63950.927,EBL,1
63951.036,NBT,0
63951.631,NBT,0
63953.119,NBT,0
63953.363,EBL,1
63953.424,NBT,0
63953.921,NBT,1
63954.424,NBT,0
63954.927,NBT,1
63955.632,NBT,0
63956.021,NBT,0
63957.041,NBT,1
63957.527,NBT,0
63958.041,NBT,0
63959.238,EBL,0
63959.238,NBT,0
63959.326,NBT,0
63959.539,EBL,1
63961.141,NBT,0
63961.826,NBT,1
63962.439,NBT,0
63963.135,NBT,0
63964.134,NBT,0
63965.944,NBT,0
63966.246,EBL,0
63966.547,EBL,1
63969.342,NBT,0
63971.438,NBT,0
63973.553,NBT,1
63973.952,NBT,0
63976.949,NBT,0
63979.845,WBL,0
63984.466,WBL,0
63988.063,WBL,0
63989.765,WBR,0
63990.363,WBL,0
63991.056,WBR,0
63993.562,WBR,0
63993.768,NBR,0
63996.07,WBR,0
63996.264,WBL,0
63998.071,WBL,0
63999.863,WBR,0
64001.775,WBR,0
64002.973,WBL,0
64010.177,EBL,0
64010.679,EBL,1
64012.579,EBL,0
64012.784,EBL,1
64014.388,EBL,0
64014.785,EBL,1
64015.588,EBT,1
64016.378,EBL,0
64016.586,EBL,1
64017.38,EBT,1
64018.088,WBL,0
64019.281,EBT,1
64019.59,EBL,1
64020.878,EBT,1
64023.086,EBT,1
64024.78,EBL,1
64025.082,EBT,1
64027.299,EBT,1
64028.797,WBL,0
64029.392,EBT,1
64031.506,EBT,1
64033.502,EBT,1
64034.607,WBL,0
64035.106,EBT,1
64037.092,EBT,1
64038.396,EBL,1
64039.816,EBT,1
64043.009,EBT,1
64045.815,EBT,1
64048.018,EBT,1
64050.718,EBT,1
64051.605,WBL,0
64052.915,EBT,1
64054.729,EBT,1
64055.614,WBL,0
64056.613,EBL,1
64056.928,EBT,1
64059.447,EBT,1
64061.935,EBT,1
64063.631,EBL,1
64064.83,WBL,0
64065.632,EBT,1
64066.928,EBL,1
64067.235,NBR,0
64069.232,EBL,1
64080.154,NBT,0
64081.143,EBL,1
64081.839,NBT,1
64083.251,NBT,1
64083.649,EBL,1
64083.759,NBT,0
64084.35,NBT,0
64084.754,NBT,1
64085.252,NBT,0
64085.653,EBL,1
64086.444,NBT,1
64086.759,NBT,0
64086.851,NBT,0
64088.448,NBT,1
64088.853,NBT,0
64089.046,EBL,1
64089.259,NBT,0
64090.958,EBL,1
64091.054,NBT,0
64093.655,NBT,0
64094.558,EBL,0
64095.058,EBL,1
64097.466,EBL,0
64097.77,EBL,1
64103.078,EBL,0
64107.38,NBT,0
64109.267,NBT,0
64109.881,NBT,0
64110.974,WBL,0
64112.388,NBT,1
64112.979,NBT,0
64113.882,NBT,0
64114.385,NBR,0
64117.881,NBT,0
64118.179,WBL,0
64120.481,WBL,0
64122.682,WBL,0
64123.795,NBT,0
64126.502,NBT,0
64126.835,EBL,1
64135.207,WBR,0
64136.209,WBR,0
64137.91,WBR,0
64140.514,WBR,0
64143.717,WBL,0
64145.519,WBL,0
64146.419,EBL,0
64146.921,EBL,1
64154.922,EBT,1
64157.326,EBT,1
64157.53,WBL,0
64159.229,EBT,1
64161.031,EBT,1
64163.135,WBL,0
64163.238,EBT,1
64165.139,EBT,1
64165.239,WBL,0
64167.341,EBT,1
64167.943,EBL,1
64168.942,EBT,1
64170.848,EBT,1
64172.647,EBT,1
64174.748,EBT,1
64176.25,EBT,1
64178.763,EBT,1
64180.455,EBT,1
64182.359,EBT,1
64184.363,EBT,1
64185.861,EBT,1
64188.362,EBL,0
64188.963,EBL,1
64189.764,EBT,1
64192.166,EBT,1
64194.774,EBT,1
64196.872,EBT,1
64198.073,EBL,1
64201.177,EBT,1
64203.681,EBT,1
64207.685,EBT,1
64209.889,WBL,0
64211.99,WBL,0
64215.393,EBL,1
64219.398,NBR,0
64220.598,NBT,1
64220.998,NBT,0
64221.9,NBR,0
64224.101,NBT,1
64224.101,NBR,0
64224.804,NBT,0
64225.904,NBT,0
64226.709,NBR,0
